Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
5,0.5,20.51,52.51,0.49,31.09,6.23,0.69,71.56,29.0
6,0.0,7.75,10.29,0.0,27.61,10.95,0.02,74.04,15.7
6,0.0,7.89,9.19,0.0,27.53,10.88,0.03,73.86,12.9
6,0.0,4.62,6.51,0.0,10.38,10.95,0.02,73.36,25.7
6,0.0,7.44,7.41,0.0,11.14,9.45,0.05,70.35,19.0
6,0.0,6.88,22.4,0.0,9.16,10.02,0.04,71.6,22.1
6,0.0,6.39,12.11,0.0,10.25,10.86,0.01,73.39,6.9
6,0.0,5.09,6.49,0.0,6.9,11.79,0.02,72.83,12.4
6,0.0,5.23,9.38,0.0,0.09,10.36,0.02,74.18,28.9
6,0.0,4.09,7.04,0.0,22.67,9.87,0.14,72.65,15.0
5,0.51,10.72,38.1,0.0,50.84,6.7,1.27,64.79,37.8
5,0.65,10.29,41.24,0.45,60.22,6.4,1.1,67.33,27.3
6,1.82,7.12,23.46,0.0,16.87,8.9,0.12,69.93,23.3
6,0.77,5.49,33.0,0.0,24.53,7.5,0.63,64.76,27.2
6,0.0,5.93,11.31,0.0,7.56,10.67,0.02,71.6,15.3
6,0.0,4.24,13.48,0.0,9.26,10.16,0.08,66.69,20.6
4,0.0,6.79,27.55,0.0,22.08,8.92,0.12,68.12,23.4
6,0.0,2.57,4.1,0.0,28.59,11.22,0.02,72.47,19.9
6,1.13,5.06,12.7,0.0,25.24,8.11,0.8,72.46,14.3
6,0.49,5.12,5.14,0.0,6.65,9.02,0.42,73.75,9.2
6,1.09,2.62,4.33,0.0,5.05,10.45,0.1,75.18,8.7
6,0.8,4.85,4.37,0.0,6.98,9.33,0.14,73.78,5.1
6,1.04,5.64,16.65,0.16,15.9,7.33,0.23,71.41,19.4
5,1.95,5.09,14.84,0.01,37.43,7.02,0.36,70.62,11.8
6,0.98,6.78,18.06,0.73,33.36,5.65,0.61,70.56,22.9
6,1.49,6.12,28.71,0.08,19.91,7.07,0.59,71.95,8.9
6,0.0,2.96,3.46,0.0,1.66,11.16,0.01,74.93,9.0
5,0.88,14.47,27.86,0.32,28.5,6.59,0.72,67.19,28.9
6,0.48,13.44,33.77,0.0,24.26,6.52,0.45,66.38,32.1
5,0.72,15.38,30.27,0.14,29.93,6.94,0.4,66.16,37.6
6,0.16,13.91,18.73,0.15,13.51,8.13,2.56,67.73,29.7
6,0.15,12.6,16.14,0.17,31.08,8.69,1.59,66.99,31.5
6,0.24,14.88,23.37,0.24,21.9,8.59,3.11,66.5,30.4
6,0.26,13.54,24.67,0.0,7.84,8.7,2.22,68.31,23.6
5,0.67,27.04,37.62,0.43,38.49,6.12,0.95,67.36,34.0
6,0.0,8.65,14.31,0.0,5.66,9.54,0.01,71.88,25.3
5,0.0,8.88,14.86,0.0,10.64,10.84,0.31,70.5,23.7
4,0.82,22.98,49.56,8.68,41.51,7.54,3.98,64.91,40.4
4,0.61,26.64,58.93,15.11,42.58,6.93,2.94,66.46,48.3
5,0.67,22.62,55.07,6.73,26.86,8.33,1.9,67.09,46.7
5,0.7,15.68,40.98,5.95,40.16,7.58,1.23,64.89,39.9
3,1.3,21.09,55.42,6.6,58.02,8.0,2.09,61.64,44.8
5,1.16,11.14,39.35,2.04,30.18,7.2,1.15,65.31,23.4
6,0.84,13.35,35.28,9.74,22.3,7.37,1.06,67.45,26.6
5,1.25,24.13,32.55,1.56,18.1,8.32,1.26,65.43,27.2
6,0.45,12.58,33.85,2.5,33.73,8.47,1.53,68.12,29.0
5,0.55,20.48,39.95,3.14,22.67,7.81,0.93,67.11,33.1
5,0.57,29.68,38.04,3.14,29.5,8.2,5.54,65.16,28.8
5,0.67,28.39,37.94,16.45,27.3,6.91,0.93,67.12,37.0
4,1.1,26.21,38.97,3.32,33.59,7.3,1.7,67.2,31.7
5,0.83,28.08,40.31,2.47,20.85,7.88,2.06,64.88,40.1
5,0.37,17.92,30.74,11.65,30.32,8.33,2.21,67.46,38.5
5,0.8,12.91,34.92,4.38,43.45,7.77,1.82,67.25,28.1
4,0.38,34.27,45.21,15.54,54.44,7.03,3.93,68.42,34.0
3,0.56,28.18,69.93,24.14,73.78,6.74,1.4,68.57,44.0
4,0.59,26.5,51.56,10.8,48.6,7.54,1.39,68.07,42.9
3,1.36,30.13,59.12,6.08,57.59,6.99,1.0,60.66,33.9
5,0.57,16.33,41.11,8.25,60.45,7.41,1.49,65.01,31.4
6,0.0,9.17,6.02,0.03,11.1,11.73,0.06,69.73,26.1
5,0.72,7.66,19.95,0.25,90.9,6.44,4.67,69.08,32.6
5,0.9,5.18,18.81,0.0,70.28,7.28,4.05,71.18,29.7
5,1.62,4.55,17.19,7.64,47.68,7.47,10.83,71.42,26.2
5,0.87,10.13,22.03,5.69,56.5,7.44,14.63,71.11,23.6
4,2.08,9.28,24.59,7.15,46.92,6.99,11.56,71.84,38.2
5,1.92,8.93,22.39,1.34,39.76,7.28,22.83,72.53,28.9
6,0.59,6.48,16.46,3.4,47.33,7.47,3.94,73.84,26.8
6,0.42,10.99,29.38,7.38,53.18,6.98,8.68,73.04,27.8
5,0.98,6.26,38.3,10.5,61.07,6.79,7.02,72.05,26.5
3,3.38,12.01,27.57,5.5,44.73,7.15,13.23,72.98,37.2
5,0.49,9.33,21.5,0.84,61.91,6.39,10.13,68.48,24.5
5,1.17,4.34,18.41,0.27,87.95,7.21,4.91,70.69,40.3
5,0.0,4.58,8.84,0.0,57.07,10.63,0.03,73.12,24.4
5,0.0,4.83,9.01,0.48,44.32,8.12,0.3,72.18,22.3
4,5.0,3.95,10.82,0.03,13.15,8.78,9.79,70.68,23.4
6,1.42,5.91,18.46,0.52,27.79,8.31,10.19,69.9,32.5
6,0.41,5.35,31.06,0.75,50.21,7.65,9.37,68.78,25.0
4,3.28,4.62,24.72,1.06,32.29,9.1,11.02,67.19,31.4
6,0.69,5.61,12.68,3.05,28.92,9.15,9.2,71.3,28.3
6,0.83,5.25,31.24,1.72,29.92,8.84,22.07,65.87,29.3
4,3.43,7.22,23.13,0.4,31.78,8.06,20.69,69.26,29.3
4,4.82,3.66,13.7,1.97,20.25,8.53,9.62,71.56,24.7
5,1.99,3.56,19.56,4.52,26.77,8.38,10.58,69.39,23.2
3,5.0,5.35,20.72,1.6,38.21,9.42,13.52,70.46,35.9
6,0.31,4.24,24.79,0.47,52.3,7.99,14.49,68.1,24.6
2,5.0,6.15,22.24,9.88,58.69,7.87,27.15,69.53,31.8
6,1.02,6.38,10.47,0.57,24.31,9.41,5.4,68.31,33.7
6,0.0,3.75,8.93,0.0,5.35,11.57,1.04,73.24,25.2
6,0.46,4.57,17.97,0.32,37.32,7.82,2.76,69.59,31.0
6,1.46,4.86,23.65,0.55,28.69,7.63,8.64,69.32,21.8
6,0.6,3.04,31.59,0.15,27.75,7.73,2.27,67.41,40.2
6,0.25,5.11,32.42,0.68,32.61,8.04,3.73,66.27,32.4
6,0.29,3.6,27.02,0.47,25.02,7.58,3.33,70.57,33.5
6,0.41,4.84,30.46,0.0,38.33,7.41,1.52,66.12,29.1
6,0.37,6.18,30.05,0.12,37.47,7.77,1.33,66.2,29.6
6,0.55,6.83,14.75,0.24,21.91,8.07,0.95,64.1,20.9
6,0.84,6.27,16.85,0.43,20.68,8.59,3.56,70.57,28.2
6,1.14,4.82,9.68,0.14,16.01,8.13,2.99,70.45,18.7
6,0.78,6.07,15.83,0.66,21.2,8.13,3.2,67.85,32.3
6,0.0,4.89,9.31,0.0,0.21,10.17,0.02,71.29,27.8
6,0.0,4.4,7.1,0.0,6.59,10.48,0.26,72.1,19.0
6,0.92,9.73,12.26,0.2,27.32,8.84,8.66,72.88,23.6
6,1.09,7.99,8.39,0.23,6.27,8.95,10.3,72.64,26.4
6,0.89,5.88,7.88,0.9,7.93,9.44,15.45,72.32,25.7
4,3.59,10.24,11.45,0.13,22.08,9.01,11.23,73.1,15.8
4,4.81,9.81,12.29,0.49,12.3,9.4,13.81,73.46,27.5
6,0.74,7.61,13.67,0.0,8.15,8.31,3.9,71.68,27.3
3,5.0,11.9,20.18,0.26,25.2,8.52,52.85,72.33,20.3
6,0.0,2.89,3.09,0.0,1.29,11.12,0.13,74.76,17.6
6,0.0,4.99,3.82,0.0,1.87,10.4,0.16,74.54,21.6
6,0.0,4.62,5.61,0.04,0.71,10.73,0.12,74.55,26.3
6,1.79,10.03,10.79,0.0,22.61,9.02,14.4,72.74,22.9
4,2.99,7.3,7.23,7.99,26.05,8.76,50.44,71.49,24.2
6,1.7,6.79,10.38,1.06,31.26,8.44,13.77,71.4,30.0
3,5.0,5.15,11.75,1.46,29.7,8.74,16.1,71.49,22.8
6,0.0,6.71,7.75,0.0,6.73,9.95,0.18,74.04,25.9
6,0.22,7.58,25.77,0.0,31.79,8.54,3.68,69.45,26.6
6,0.76,7.67,25.99,0.12,26.48,10.05,0.89,71.16,17.5
3,4.73,11.02,39.3,2.82,19.46,9.0,0.54,70.18,21.1
6,0.81,9.0,42.76,0.1,25.8,9.81,1.98,70.24,25.8
6,0.76,9.37,38.94,0.0,26.91,9.34,1.94,70.01,24.2
6,0.98,7.11,33.26,0.0,11.75,9.89,0.87,71.4,19.1
6,0.57,12.47,40.53,0.55,21.84,9.61,1.5,70.21,25.5
6,0.51,8.03,28.74,0.72,32.15,8.26,2.8,67.73,26.4
3,5.0,8.94,16.2,0.0,54.18,9.37,0.6,70.87,22.5
6,1.06,6.1,29.82,0.42,31.84,8.36,3.33,67.94,24.4
5,1.62,12.85,35.58,0.43,37.55,8.76,3.69,64.49,37.4
6,0.0,6.19,16.05,0.0,4.64,11.4,0.03,71.9,23.8
5,0.0,6.43,32.87,0.0,8.88,10.03,0.34,71.1,22.1
6,0.0,5.69,20.01,0.0,16.05,10.64,0.13,72.06,18.3
6,0.0,5.74,12.87,0.02,14.43,10.63,0.12,70.6,25.1
6,0.34,7.83,15.06,0.65,20.23,8.6,5.19,70.88,26.0
6,0.34,15.92,13.49,0.61,24.2,9.72,5.03,71.19,26.7
5,0.78,16.73,20.27,3.25,30.88,8.2,4.38,67.5,29.5
6,0.59,13.51,14.48,4.2,27.18,8.98,2.96,66.18,29.3
6,0.48,14.06,14.29,1.18,12.63,9.07,5.26,69.05,28.6
6,0.6,13.75,12.78,1.72,16.41,8.35,2.36,69.23,28.9
4,3.63,13.72,25.14,2.72,13.51,8.24,3.29,66.59,30.6
6,0.26,15.28,20.03,4.37,35.17,8.27,2.95,64.35,31.7
5,1.11,16.6,29.45,1.75,12.52,8.43,5.23,65.9,29.4
6,0.42,13.05,18.32,0.9,42.96,9.03,5.17,70.09,40.7
2,5.0,14.17,27.05,7.96,24.06,8.38,1.07,65.67,26.1
6,0.55,13.9,21.4,2.65,26.99,8.36,13.11,69.71,24.6
6,0.0,7.17,4.55,0.0,3.94,11.57,0.12,71.09,23.9
5,1.4,12.45,38.39,2.61,12.58,8.3,1.0,68.52,27.7
6,0.29,7.43,36.84,0.46,21.18,8.2,0.71,68.1,30.8
6,0.31,9.41,35.91,0.0,23.74,7.17,0.31,70.6,22.5
6,0.23,14.28,32.53,0.67,14.74,7.05,0.4,66.49,37.9
6,0.44,8.25,22.38,0.23,26.5,8.0,0.33,67.3,34.7
6,0.3,7.54,26.76,0.59,33.43,8.04,1.31,70.45,33.0
6,0.42,8.84,26.53,0.1,22.32,8.16,0.47,67.38,30.1
6,0.14,10.52,13.63,2.06,29.31,7.58,2.61,67.21,34.1
6,0.3,9.57,21.57,0.4,27.38,8.38,1.49,69.04,37.5
6,0.49,14.28,24.61,0.14,23.78,8.51,1.0,66.78,33.1
6,0.26,8.68,22.77,0.68,17.37,8.53,1.42,69.07,26.4
6,0.12,7.53,16.24,1.01,28.69,8.11,1.7,69.81,25.4
6,0.1,6.46,27.32,0.2,17.88,7.48,2.18,67.48,22.6
6,0.11,5.04,19.51,0.66,28.9,8.28,1.26,70.01,25.4
6,0.13,8.81,19.89,0.11,23.93,8.1,1.3,69.77,24.5
6,0.56,12.47,36.94,0.7,32.66,8.7,1.24,70.93,31.9
6,0.22,12.53,27.1,0.98,34.55,8.92,2.03,70.44,22.8
6,0.61,12.27,38.15,1.08,53.55,9.03,1.58,73.4,29.2
6,0.24,13.59,36.23,0.31,29.9,8.23,6.9,68.67,19.5
6,0.2,6.94,14.87,0.54,27.26,8.38,3.39,70.63,19.9
6,0.6,11.99,34.2,1.14,37.01,8.89,0.91,73.41,32.6
6,0.0,4.82,8.2,0.08,1.26,11.44,0.02,72.13,18.8
6,0.0,5.4,7.33,0.0,7.76,11.23,0.08,71.31,24.8
6,0.0,8.14,14.07,0.0,5.02,11.18,0.16,70.92,28.5
6,0.64,12.43,20.67,1.79,19.81,9.14,2.72,71.21,26.5
6,0.26,13.03,24.36,0.19,14.65,9.27,2.49,70.32,26.2
6,1.22,13.54,30.5,0.31,22.49,8.36,1.11,70.41,30.8
5,1.6,13.92,40.19,0.66,9.2,8.57,1.64,68.39,33.0
6,0.48,11.34,25.62,0.31,17.48,8.42,5.37,70.87,28.3
6,0.34,10.76,23.37,1.48,6.33,8.31,3.7,69.09,26.8
3,4.02,14.91,28.87,0.21,38.52,8.59,1.04,70.48,26.0
5,1.94,13.79,22.57,1.21,14.99,8.65,4.2,70.36,29.1
6,1.23,14.32,30.39,0.16,18.42,9.48,12.88,69.53,29.5
5,1.67,14.89,28.04,1.58,18.32,8.59,3.46,70.93,26.8
6,0.22,14.35,30.25,0.0,18.91,8.62,5.74,72.82,23.0
4,3.74,17.81,24.99,0.18,12.26,9.0,3.05,68.43,32.8
6,0.71,13.96,36.66,1.24,23.6,7.91,1.76,70.35,29.0
4,2.69,15.8,44.69,0.22,12.15,7.78,1.46,67.69,42.7
5,1.43,14.62,34.74,1.4,41.27,7.94,0.78,67.69,45.2
6,0.0,4.87,8.58,0.0,7.46,12.09,0.11,73.83,24.0
6,0.0,7.78,12.57,0.0,2.86,11.19,0.2,71.25,27.6
6,0.45,17.89,11.49,1.22,20.79,8.33,1.19,67.69,28.3
6,0.17,19.0,14.52,1.33,17.22,8.05,2.16,69.3,29.8
6,0.88,16.3,7.69,0.0,22.05,8.79,2.21,68.52,25.1
6,0.18,18.08,18.46,0.46,6.39,8.03,5.64,64.3,34.6
6,0.21,17.23,13.17,1.24,19.75,8.03,2.69,65.93,29.5
6,0.0,5.93,2.11,0.0,4.67,10.41,0.05,72.53,26.5
5,2.26,4.77,16.6,1.24,13.81,8.45,4.35,66.45,28.6
6,0.46,7.46,18.31,0.42,25.22,8.18,3.04,67.77,30.3
5,0.58,13.77,42.51,1.97,69.76,8.25,2.77,70.94,33.7
5,0.5,15.68,30.2,0.77,28.9,7.85,0.8,62.53,36.0
4,3.16,14.34,21.12,0.08,16.5,9.36,0.85,61.77,35.7
6,0.63,7.13,15.28,1.18,28.54,7.6,3.67,68.55,26.3
5,1.53,19.84,22.04,3.66,31.93,9.99,5.04,66.45,29.8
2,4.79,22.73,8.75,1.91,36.46,9.86,1.44,65.14,21.6
2,5.0,27.27,22.67,0.33,32.48,9.88,7.78,63.45,25.1
6,0.4,17.28,8.28,2.58,25.52,8.98,5.31,66.44,31.7
4,0.92,23.25,10.59,15.74,40.63,8.49,6.03,59.62,41.9
4,2.18,25.27,12.57,2.69,39.56,9.43,4.58,61.85,28.7
2,5.0,26.53,12.73,22.37,29.78,8.86,12.52,62.96,35.8
4,1.34,29.55,2.46,5.28,31.28,9.36,9.62,62.55,29.6
3,3.6,15.89,21.95,7.58,20.3,7.99,7.03,66.36,39.1
6,0.0,5.02,3.39,0.09,10.72,12.16,0.11,70.63,21.8
3,0.0,23.26,0.77,1.64,19.88,10.39,0.68,65.68,27.7
3,5.0,8.95,5.89,1.28,41.07,8.58,3.09,66.34,30.0
2,5.0,13.52,5.41,1.77,34.07,9.12,4.54,64.15,29.1
4,3.9,5.22,10.03,1.53,26.41,8.62,4.58,69.61,30.5
3,5.0,5.19,18.87,7.43,25.57,8.37,6.12,65.93,33.7
2,5.0,8.23,10.02,2.9,42.61,9.26,7.83,63.39,27.7
5,1.46,15.04,13.36,3.73,31.55,8.19,9.76,69.08,32.7
4,3.95,6.52,12.81,0.0,36.44,7.66,5.47,67.35,28.3
2,5.0,7.49,18.67,23.87,56.98,7.72,6.28,62.22,35.2
6,0.0,3.55,4.44,0.0,10.97,11.59,0.09,71.06,24.0
4,0.0,6.58,10.32,0.2,38.35,10.06,1.82,69.43,25.1
6,0.16,10.16,15.97,5.76,29.95,8.77,46.54,67.07,28.3
1,5.0,37.09,31.92,14.5,80.99,5.22,10.83,59.9,49.3
5,2.11,12.13,7.91,1.47,28.98,9.6,12.56,67.16,29.5
5,1.9,23.83,18.62,4.03,18.1,9.54,12.8,68.15,20.6
2,5.0,26.09,13.34,20.44,38.83,8.95,3.27,69.17,33.1
2,5.0,24.45,18.08,0.45,27.62,9.58,2.71,68.29,34.0
1,5.0,36.0,54.85,96.76,78.24,3.45,35.46,65.33,33.3
1,5.0,36.59,10.73,19.15,100.0,3.83,8.27,66.62,32.1
6,0.71,14.17,22.09,6.89,18.15,9.65,12.22,72.36,31.5
3,3.12,13.84,27.14,2.26,33.52,8.16,70.78,66.46,32.7
4,2.27,16.0,23.88,12.2,36.79,7.76,58.82,66.78,30.5
1,5.0,30.46,45.58,52.93,78.47,3.73,18.14,64.54,55.4
1,5.0,37.64,63.88,34.17,69.25,3.69,60.61,66.05,43.6
1,5.0,32.6,75.39,0.48,99.81,2.55,35.41,65.83,28.9
2,2.96,29.85,20.32,27.12,67.08,8.55,100.0,66.42,26.0
1,5.0,19.9,21.19,21.43,49.54,8.4,28.48,60.32,37.6
1,5.0,26.05,41.58,10.62,75.8,6.26,15.04,65.31,33.6
1,2.48,24.83,46.75,57.49,88.52,5.52,32.47,58.59,38.1
1,5.0,37.91,54.59,19.21,77.78,8.8,2.33,66.06,29.7
1,5.0,28.78,68.5,2.37,88.61,6.69,100.0,58.0,22.5
1,5.0,36.76,86.49,23.36,100.0,3.57,16.53,63.75,42.4
1,5.0,33.25,69.23,27.11,100.0,5.66,16.94,65.49,44.1
1,5.0,38.73,89.61,23.43,99.58,3.7,6.39,66.11,38.6
1,5.0,37.18,70.67,40.85,96.18,3.94,10.9,55.43,38.8
1,5.0,36.26,72.22,19.75,95.46,1.48,46.83,65.86,48.3
1,5.0,28.81,23.59,74.8,93.51,3.37,45.56,65.85,42.9
1,5.0,41.66,65.91,15.76,100.0,1.89,35.33,65.69,46.9
1,5.0,40.59,12.42,17.43,100.0,2.09,19.19,65.36,28.4
6,0.0,11.39,5.14,0.0,1.93,11.41,0.4,70.52,22.9
2,5.0,27.78,15.41,1.81,45.74,8.74,7.58,66.22,28.7
4,2.18,20.56,8.96,0.0,34.06,9.01,2.4,68.82,26.9
2,5.0,22.86,17.28,4.48,44.3,10.33,16.05,68.5,26.0
1,5.0,18.55,37.48,14.43,74.25,7.7,12.61,66.39,39.6
2,4.89,17.5,24.92,12.32,45.86,8.31,17.17,64.83,31.1
1,5.0,29.79,29.73,7.19,34.9,9.59,32.51,60.99,27.5
1,5.0,31.61,30.41,8.88,77.43,8.47,9.45,60.24,31.0
2,5.0,16.04,27.57,9.13,43.1,9.77,28.15,64.93,28.5
1,5.0,33.86,33.04,2.11,68.12,8.5,63.35,60.2,39.4
1,5.0,31.39,7.59,0.22,61.9,10.5,22.57,65.25,34.5
5,0.98,29.3,21.87,3.25,27.52,8.6,14.88,67.6,28.5
1,5.0,34.7,23.48,21.62,51.51,6.41,20.4,67.26,40.1
5,0.0,15.35,5.81,0.77,3.82,11.47,0.6,70.93,19.9
